name,adress,zip,city,applicatie,beheer,netwerk,ecabo,activity,email,comment
CMPE - Mind Holland,oudeweg 8A,2031CC,Haarlem,TRUE,,TRUE,,Datamining/Voip,info@cmpe.nl,06 46 372 246
Cobra Systems,Penningweg 82,1507 DH,ZAANDAM,,,,,,"thom.neeft@cobrasystems.nl
patrick@cobrasystems.nl",
Compu Act,Wilhelminastraat 33,2011VJ,Haarlem,TRUE,,,,,Jesse@computertraining.nl,Voicemail ingesproken 6Okt2014
Compucolor Printing,Hulswitweg 31,2031BG,Haarlem,TRUE,TRUE,TRUE,TRUE,Digital Media,info@compucolor.nl, 
CAS Computers opf Computer Adevies Samuelz,Ir Lelieweg 50,2031CD,Haarlem,,TRUE,,,,info@compufactory.nl,023 531 0209
Computer Connection,Middelweg 95A,1911EC,Uitgeest,,TRUE,,TRUE,Winkel,info@computerconnections.nl,06 47 024 923 - gemotiveerd en wat gevorderd
Computer Support Amsterdam,Jan van Galenstraat 111,1056 BK,Amsterdam,,TRUE,TRUE,,Computer reparatie,info@computersupportamsterdam.nl.,
Comsoft direct BV,Flamingoweg 36,1118EE,Schiphol,,,,,Licentieverkoop,michel.Jansen@comsoft.nl,of 06-21393897
Copavo,La Guardiaweg 36-66,1043DJ,Amsterdam,TRUE,TRUE,,TRUE,,info@copavo.nl,0654 757 505
Corus Packaging,Wenckebachstraat 1- 4e,1951JZ,Velsen-Noord,,,,TRUE,Tata Steel,,
CPM, , ,Amstelveen,,TRUE,TRUE,,,rudy.muzo@nl.cpm-int.com,
CSU Uithoorn,Dorpsstraat 49,1421AS,Uithoorn,,TRUE,,TRUE,computerwinkel,info@csuithoorn.nl,06-24277972
De Voogt NavalArchitects,Leidsevaart 574,2014 HT,Haarlem,,TRUE,,TRUE,CAD 3D Architects,pieters@dvna.nl,
Dienst MaatschappeliJke Ontwikkeling,Weesperstraat 101,1018VN,Amsterdam,,,,,,,
DJF-com,Hoofdstraat 125C,2181EN,Hillegom,,TRUE,TRUE,,Reparaties/onderhoud,dennis@djfcom.nl,Nivo 2!!
Dutchdrops,Tappersweg 14-25,2031EV,Haarlem,TRUE,,,TRUE,,info@dutchdrops.nl,Voorheen creative4vision
DUVAK IT MUST WORK,Statelietlaan 37,2180AJ,Hillegom,,TRUE,,,,recruitment@duvak.nl,
DVOMi,Parnassusweg 220,1076AV,Amsterdam,,,,,,,
Dynabyte,Houtplein 16,2012DH,Haarlem,,,,TRUE,Verkoop computers/computeronderdelen,,
EasyCount BV,karspeldreef 6 b (6e verdieping),,Amsterdam,,,,TRUE,,paul@easycount.nl,
ECL (1e Christelijk Lyceum),zuider Emmakade 43,2012KN,Haarlem,,TRUE,TRUE,TRUE,school,b.degraaf@ecl.nl,
Effectiv  Communicatie BV,Weerenweg 13B,1161AE,Zwanenburg,,,,TRUE,,contact@effectiv.nl,
Elbersen automatisering,Herenweg 29 A1,2105MB,Heemstede,,,,TRUE,AutomatiseringsbedriJf,,
EVO Switch,Lucasweg,,Haarlem,,,,,,,
Falco Networks BV,De SchriJnwerker 10,1851PV,Heiloo,,,,,,,
FBI Design,Wilhelminastraat 14-16,2011VM,Haarlem,,,,,,fbi@fbidesign.nl,
Ferencik,Vijfhuizerweg 795a,2141CP,Vijfhuizen,TRUE,,,,,wilfried@ferencik.net,Engels is een must! of Pools oid
Gemeente BeverwiJk,Stationsplein 48,1948KG,BeverwiJk,,,,,Gemeentehuis,via form op website,
Gemeente Haarlemmermeer,Raadhuisplein 1,2132TZ,Hoofddorp,,,,,Gemeentehuis,willem.vrugt@haarlemmermeer.nl,
Gisek Automatisering,Kromhoutstraat 60,1976BM,IJmuiden,,,,,appl ontw + ICT beheer,,
Guidion Computer Budies,James Wattstraat 79 (9e verd),1091GL,Amsterdam,TRUE,TRUE,,TRUE,,werken@guidion.net,create.guidion.nl
Haarlem College,Broekweg 1,2035LE,Haarlem,,,,,,,
Haemstede Barger,Koediefslaan 73,2101BT,Heemstede,,TRUE,TRUE,TRUE,school,rvankrieken@haemstede-barger.nl,
Harte Kamp Groep,De Circel 1,1976 NM,Heemstede,,TRUE,TRUE,TRUE,,stages@hartekampgroep.nl,
Haven College,"Kwadrantweg 11
Westpoort 4044",1042AG,Amsterdam,TRUE,,,TRUE,school,,
Hexapole,WiJkermeerweg 72,1948NX,BeverwiJk,,,,,AutomatiseringsbedriJf,info@hexapole.com,
HvA,Wiboutstraat 2-4,1021GM,Amsterdam,,,,,school,n.siemens@hva.nl,
Iber Lengua,Zaanenstraat 18,2022CP,Haarlem,,,,TRUE,,,
Ichtus Lyceum,Wolff en Dekenlaan 1,1985HP,Driehuis,,,,,,,
IDG Communications Nederland,Transformatorweg 80,1014AK,Amsterdam,,,,TRUE,AutomatiseringsbedriJf,,
Infotheek,Willem Barentszstraat 19,2315TZ,Leiden,,,,,,alex.mater@infotheek.nl,
Invent Design,Valschermkade 36-B,1059CD,Amsterdam,TRUE,,,TRUE,,niek@inventdesign.nl,
Inventeers,De Heijderweg 21,2314XZ,Leiden,TRUE,TRUE,TRUE,TRUE,,info@inventeers.nl,0628 533 908
InWork,Karspeldreef 8,1101CJ,Amsterdam,,TRUE,,TRUE,,,
Its a virus,Oudeschans 85-4,1011KW,Amsterdam,TRUE,,,TRUE,,jverheul@itsavirus.com,
IURO,Govert Flinckstraat 57,1071JW,Amsterdam,,TRUE,TRUE,,Pieter Appel,kenzo@iuro.nl,06 254 255 29
JK Webdesign,Wezellkoog 4,1822BL,Alkmaar,TRUE,,,TRUE,,,
JWT-internationaal,Leidseplein 29 (Hirsch gebouw),1017PS,Amsterdam,,TRUE,TRUE,TRUE,,harry.van.den.boogaard@jwtamsterdam.nl,
K-Swiss,Diakenhuisweg 45,2033AP,Haarlem,,TRUE,,TRUE,Verkoop sportartikelen,support@kswiss.nl,Desktopbeheer geen Server (dus Lint stage)
KBWorks,suikersilo west 15,1165MP,Halfweg,TRUE,TRUE,,TRUE,,paul@kbworks.nl,Graag nivo 4 of 3e jaars
KLM Equipment Services,Pakhuisstraat 1,1118DJ,Schiphol,,,,,,,
KNRM,Haringkade 2,1976CP,IJmuiden,,,,TRUE,RediingsmaatschappiJ,m.niJst@knrm.nl,
Koeleman Accountants & Belastingadviseurs,Torenlaan 1c,2215 RW,Voorhout,TRUE,,,,Accountant,,
Kreeft Infra,Kruitenstraat 7,1976DM,IJmuiden,,,,,,frank@kreeft-gww.nl,0615 309 003
KVSA,Sluisplein 55,1975AG,IJmuiden,,,,TRUE,,info@kvsa.nl,
Liereland,Toscanestraat 4,1872DM,Alkmaar,,,,,,,
MARK-APP,Gerstland 33,1991CL,Velserbroek,,,,,web ontwikkeling,info@mark-app.com,
Master-Solutions,Parallelweg 124 15,1948NN,Beverwijk,TRUE,TRUE,TRUE,TRUE,,o.cairo@master-solutions.nl,
Mata Computers,WiJkerstraatweg 173A,1951ED,Velsen-Noord,,,,,,,
MCCS,Bolderweg 2,1332,Almere,,,,,,Jan@mccs.nl,
Media Markt Cruquius,Cruquiusplein 10,2142EV,Cruquius,,TRUE,,,,,
"Meerkerk, de",IJweg 1100,2133MH,Hoofddorp,,,,TRUE,,Johnvandenberg@meerkerk.nl,
Mendelcollege,Pim Mullerlaan 4,2024BT,Haarlem,,,,TRUE,school,,
Microfix,"Paasheuvelweg 34A,",1105BJ,Amsterdam,,TRUE,TRUE,,,,
Mixxim,Pleimuiden 24,1046AG,Amsterdam,,,,TRUE,,info@mixxim.nl,
Mundus College (zie ook Nova),Burgemeester Hogguerstraat 2,1064EB,Amsterdam,,TRUE,TRUE,TRUE,,k.aissati@mundus.espritscholen.nl,
My-link Design,Meer en Duin 365,2163HE,Lisse,TRUE,,,TRUE,,info@my-link.nl,
Mycom,Zijlweg 26,2013DH,Haarlem,,TRUE,,TRUE,Computerwinkel,,
Netaffairs Internetdiensten BV,Hulswitweg 14,2031BG,Haarlem,TRUE,TRUE,TRUE,TRUE,,tamara@netaffairs.nl,richard@netaffairs.nl
NetFirst,Cessnalaan 33,1119NJ,Schiphol-riJk,,,,,,mark@netfirst.nl,06 333 078 10
New Limit Database Solutions BV,Koelmalaan 69,1812PR,Alkmaar,,,,,,frank.kuiJper@newlimit.nl,
NG Networks,Prof. van der Waalsstraat 1,1821 BT,Alkmaar,,,TRUE,TRUE,,gert@ngnetworks.nl,mogen er 2 zijn
Nine Connections,Keizersgracht 203,,Amsterdam,,TRUE,TRUE,,,lucien.burm@kimengi.com,
Nova College BeverwiJk,Lauren Baecklaan 23,1942LN,BeverwiJk,,,,TRUE,School,,
OBS De Duinroos,Dr Jacobus P ThiJsseweg 24,2041BM,Zandvoort,,,,,,info@deduinroos.nl,
OBS De Pleiaden,Pleiadenplantsoen 63,1973BS,IJmuiden,,,,,,gertoncazemier@gmail.com,
OGD ICT-diensten,Cypressehout 99,1507EK,Zaandam,,TRUE,,TRUE,ICT Dienstverlening,werkplekbeheer@ogd.nl,
Onsite Automation,Tappersweg 14-32,2031CV,Haarlem,,,,,,,
Otravo,Haarlemmerstraatweg 41,1156 MS,Amsterdam-Halfweg,,,,,,m.hellinga@otravo.nl,Suikersilo Oost 12e verdieping
Outhands,De Hooge Krocht 2H,2201 TX,Noordwijk,TRUE,TRUE,,TRUE,Internet diensten,marcus@outhands.nl,
OVO Zaanstad,Stationstraat 77,1506DE,Zaandam,,TRUE,TRUE,,,h.vandenberg@ovo-zaanstad.nl,
Pletterij,Lange Herenvest 122,2011 BX,Haarlem,,TRUE,,,,mariette@pletterij.nl,Lint stage max haalbaar
Qubics,Bloemendaalseweg 172,2051 GK,Overveen,TRUE,,,TRUE,,jp.huiskamp@qubics.nl,
Realhosting,Tingietersweg 86,2031ES,Haarlem,,,,,,,
Reliance Managed Services,Jupiterstraat 202,2132HJ,Hoofddorp,,TRUE,TRUE,TRUE,,,
Reuzado,Hendrik Figeeweg 5 E2,2031BJ,Haarlem,,TRUE,,TRUE,,roy@reuzado.nl,
Schoter scholengemeenschap,Sportweg 9,2024CN,Haarlem,,,,TRUE,school,,
Schott Groep,Smaragdweg 3,1812RL,Alkmaar,,,,TRUE,,J.vanlith@schot-alkmaar.nl,
Sims Lifecycle Services,Waarderweg 60,2031BP,Haarlem,,,,,Hardware recycling,,
Smart Alarm,Wibautstraat 125,1091GL,Amsterdam,TRUE,TRUE,TRUE,TRUE,,jelle@smartalarm.nl,
Square One Solutions,Oosteinde 34,2361HE,Warmond,,,,,,h.devlieger@square1.nl,06 2479 70 28
Stageservices,Sisalbaan 5c,2352ZA,Leiderdorp,,TRUE,TRUE,TRUE,stagebegeleiding,pvdmeij@stageservices.nl,
Stedenband Haarlem Mutare,Lange herenvest 122,2011BX,Haarlem,,,,TRUE,,,
Sterren College,Badmintonpad 15,2023BT,Haarlem,,,,,school,a.blankesteiJn@duamare.nl,Alleen oud leerlingen
Stichting Veilig Online,Erasmusweg 11-c,2532CD,Den Haag,,,,,Stichting,,
Succesfully,Waarderveldweg 89,2031BK,Haarlem,TRUE,TRUE,TRUE,TRUE,,epel@succesfully.nl,
Synetic BV,Molenwerf 40,1911DB,Uitgeest,TRUE,,,TRUE,,hessel@synetic.nl,
Tabijn BV,De trompet 1960,1967DB,Heemskerk,,TRUE,TRUE,TRUE,,e.vdsaag@tabijn.nl,
Technisch college Velzen,Briniostraat 12,1971HM,Ijmuiden,,TRUE,TRUE,TRUE,school,p.tauber@technischcollegevelsen.nl,
Teleplaza,De Trompet 2260,1976DC,Heemskerk,,,,,,robert@teleplaza.nl,
Tender College,Eenhoornstraat 8,1973XT,IJmuiden,,TRUE,TRUE,,school,m.vrijburg@tendercollege.nl,
Thordar Media,Spaarndamseweg 120 K III,2021 KA,Haarlem,TRUE,,,,Webbouwers,mark@thordar.nl,
Total Progress,Izaak Enschedeweg 40,2031CS,Haarlem,TRUE,TRUE,,TRUE,,info@totalprogress.nl,023 7070 008
University of Wolverhampton,,, ,,,,,United Kingdom,,
Vanimedia,Ruinelaan 12,1861LL,Bergen,TRUE,,,,,robbin@vanimedia.nl,
VBVB ICT,Herengracht 505,1017BV,Amsterdam,,TRUE,,TRUE,,david@vbvb.nl / hubert@vbvb.nl,
Vellesan College,P.J. Troelstraweg 1,1971HL,IJmuiden,,,,,School,,
Viva Zorggroep,Parlevinkerstraat 23,1951AR,Velsen-Noord,,,,,,p.smit@vivazorggroep.nl,
VUMC,Jachthavenweg 111 (gebouw zuiderhof),1081KM,Amsterdam,,TRUE,TRUE,,,s.bloem@vumc.nl,
Vuurpijlbeheer BV,Lagedijk 11A,2064KV,Spaarndam,,TRUE,TRUE,,Hosting provider,,
Webbro,Badhuisplein 12,2042 JB,Zandvoort,TRUE,,,TRUE,,arnold@webbro.nl,
WeCloudit Group,Schieland 18,1948RM,Beverwijk,TRUE,,TRUE,TRUE,,stephan.zweers@wecloudit.nl,0642 018 451
Widgets BV,Jansweg 39,2011KM,Haarlem,TRUE,,,TRUE,,info@widgets.nl,
WinSys B.V.,Kromhoutstraat 54a,1976BM,IJmuiden,,TRUE,TRUE,TRUE,Automatiseringsbedrijf,stella@winsys.nl,Januari 2015
Zaan Primair,Martin Luther King weg 206,1504DG,Zaandam,TRUE,TRUE,TRUE,,Onderwijsinstelling,vacatures@zaanprimair.nl,
Zebra,Kaj Munkweg 30,2131RW,Hoofddorp,TRUE,TRUE,TRUE,TRUE,Leerbedrijf,lvalkenier@novacollege.nl,
Zorgring,Bestevaerstraat 65,1812PC,Alkmaar,,,TRUE,TRUE,,M.Miedema@zorgring.nl,
ACW softline,,,wormerveer,,,,TRUE,,,
Aeon Service ICT,"Caballero Fabriek, Saturnusstraat 60 Unit 2",2516 AH,Den Haag,,TRUE,TRUE,,ICT dienstverlener,info@aeon.service.nl,
Appedemic,IJburglaan 835,,Amsterdam,TRUE,,,TRUE,Web bouwer,emile@appedemic.nl,
Banana-Apps,Kabelweg 37,1014 BA,Amsterdam,TRUE,,,TRUE,Game development,stage@banana-apps.com,
Barning,De Roysloot 2,2231 NZ,RiJnsburg,,,,,Communicatie,e.wasser@barning.nl,
Beveiliging Kennermerland,Robert Kochlaan 126,,Haarlem,,TRUE,,,Camerabeveiliging,marcus@BeveiligingKennemerland.nl,
Brightness,Planetenweg 5,2132 HN,Hoofddorp,,TRUE,,,,jeroen@brightness.nl,
Bugs Business,RhiJnspoor 235,2901 LB,Capelle aan den IJssel,,,,,Verzekeringssoftware/apps,info@bugsbusiness.nl,
Cartesius Lycemum,Frederik Hendrikplantsoen 7,1052 XN,Amsterdam,,TRUE,,,School,j.vanammers@cb.espritscholen.nl,
Dearbytes,Rijnland 4c,1948RL,Beverwijk,TRUE,TRUE,TRUE,TRUE,IT Security,Stephan.Krijgsman@dearbytes.nl,
DGTL Design,Bos en Lommerplein 290-300,1055RW,Amsterdam,TRUE,,,TRUE,,paul@dgtldesign.com,milan@dgtldesign.com
Digital Image,Wattstraat 52,2171TR,Sassenheim,TRUE,,,,,ed@digital-image.nl,
Effect ICT Solutions,Losplaatseweg 24a,2201CV,NoordwiJk,,,,,,henk@effect-ict.nl,
Findeve,Nieuwe Gracht 13,2011NB,Haarlem,TRUE,,,TRUE,Web bouwer,niels@findeve.nl,
Infra 24,W.M. Dudokweg 24,1703 DB,Heerhugowaard,,,,,,cris@infra24.com,
Intergraph/Hexagon,Siriusdreef 2,2132 WT,Hoofddorp,TRUE,,,TRUE,Security,francis.schenk@intergraph.com,
IT Formule,‘s-Gravendijckseweg 37,2201CZ,Noordwijk,,TRUE,,,Consultancy,,
Let's build IT,Verlengde Lageweg 19,1628 PM,Hoorn,TRUE,,,,Web bouwer,,
Lined,,,Noordwijkerhout,TRUE,,,,,dave@lined.nl,
Livit Orthopedie,Gyroscoopweg 144,1041AZ,Amsterdam,,TRUE,,TRUE,Orthopeet,speters@livit.nl,
Madaga,Laan van Kronenburg 14,1183 AS,Amstelveen,,TRUE,,,Food,,
Minty Media,Diakenhuisweg 29 - 35,2033 AP,Haarlem,,,,,Web bouwer,Job@mintymedia.nl,
MyChip,Rijder 1a,,Zaandam,TRUE,,,TRUE,Events en betaalsysteem,jaleesa@dewit.nl,
Next Gen Networks b.v.,Professor van der Waalsstraat 1,1821 BT,Alkmaar,,TRUE,TRUE,,Netwerkbedrijf,,
Novusoft,Augurksteeg 11,1601CD,Enkhuizen,TRUE,,,TRUE,Web bouwer,,
Onderwijsgroep Amstelland,,, ,,TRUE,TRUE,,,,
PCAlkmaar,Scheldestraat 62-A,1823 WB,Alkmaar,TRUE,TRUE,TRUE,,Reparatiebedrijf,info@pcalkmaar.com,
PCHulpnederland,Ceintuurbaan 141,1072 GB,Amsterdam,,TRUE,TRUE,,,jamie@pchulpnederland.nl,
Premiums Mobi,Magneetstraat 7,1044 CC,Amsterdam,TRUE,,,TRUE,,info@premiums.mobi,
Prins Staalhandel,Kousenmakersweg 2,2031 ED ,Haarlem,TRUE,TRUE,TRUE,,,amoens@prinsstaal.nl,
Project 23,Weeshuistuin 1,1621GE,Hoorn,TRUE,,,TRUE,,info@project23.nl,
PWA-IT,PletteriJ 1F,2211 JT,NoordwiJkerhout,,,,,,info@pwa.it,
Real IT Soluctions,Pieter Goedkoopweg 24,2031EL ,Haarlem,,TRUE,TRUE,,,info@rshaarlem.com,
RG IT Systems,Newtonstraat 38a,1704SB,Heerhugowaard,,,,TRUE,,Gert@rg-itsystems.nl,
Schoonheidssalon Wagenaar.,Pa Verkuyllaan 20,1171 EE,Badhoevedorp.,,,,,Schoonheidssalon,,
Selectron Rademakers,Kerkstraat 105b,2011 RG,Noordwijkerhout,,TRUE,TRUE,,Computerwinkel,,
Sensa Zorg,Professor van der Scheerstraat 205,2035 AM,Haarlem,,,,,,,
SLBDiensten / Slim.nl,Vierwindenstraat 149,1013 LA,Amsterdam,,,,,SLB diensten voor MBO,Hans.manders@gmail.com,
Smix Repair,De hooge krocht 20,2201 TX,NoordwiJk,,,,,,ahuiJbregts@smixs.nl,
Swat,De Trompet 1560,1967 DB,Heemskerk,TRUE,,,TRUE,Internet Reclame buro,lvantveer@swat.nl,
Teva Pharmaceuticals,Swensweg 5,2031 G,Haarlem,,,,,Pharma,MartiJn.Koorn@tevapharmachemie.com,
The Outlet Factory,Spaarneweg 75a,2142EP,Cruquius,TRUE,,,TRUE,,sales@theoutletfactory.nl,
The Prosperity Lounge,Noordeinde 2E,2311 CD,Leiden,TRUE,,,TRUE,,oscar@thepl.nl,
Tjuna,Tappersweg 12W,2031ET,Haarlem,TRUE,,,TRUE,Web bouwer,info@tjuna.com,
Total Internet Group,Kabelweg 37 (Coengebouw),1043AJ,Sloterdijk,TRUE,,,,Web bouwer,eline.ceelen@totalinternetgroup.nl,
Trans-IX,Westhavenweg 105b,1042BB,Amsterdam,,TRUE,TRUE,,Hosting Provider,diederik@trans-ix.nl,Nivo 2 welkom!
TroubleFree,,,Noordwijkerhout,TRUE,,,,,,
Turien en Co Assuradeuren,James Wattstraat 11,1118DC,Alkmaar,,TRUE,,,Verzekeringen,mwijnmaalen@turien.nl,
Vegro Verpleegartikelen ,Vennestraat 13,2161LE,Lisse,,TRUE,,,,,
Yahklef IT,Van der Vennestraat 59,,Den Haag,,TRUE,,,,hamza.yakhlef@gmail.com,
Zisoo,Polaris Avenue 151,2132JX,Hoofddorp,,,,,,,
123Webidee,Hans van Kilsdonklaan 49,1948BB,Beverwijk,TRUE,,,,webontwikkeling,info@123webidee.nl,Januari 2015 (na verhuizing)
24 imedia,Transformatorweg 78,1014AK,Amsterdam,TRUE,TRUE,TRUE,TRUE,,pieter.siekerman@24imedia.com,0613 018 768  Vanaf 25 Jan 2015
2Contact,Prins Hendrikstraat 1,2011VM,Haarlem,,TRUE,,TRUE,Callcenter,mlindenborn@2contact.com,
Airtrade,Nobelstraat 19,2011TX,Haarlem,TRUE,TRUE,TRUE,TRUE,,rhaarlemmer@airtrade.nl,4e kwartaal 2015
Alcco Alkmaar Computers,Muiderwaard 404,1842XT,Alkmaar,,,,TRUE,,info@alcco.nl,2015 weer
Allshare BV,Scorpius 30,2130AG,Hoofddorp,,TRUE,TRUE,TRUE,Bank sw ontwikkeling / hosting,lbakker@allshare.nl,2e kwartaal 2015
As-siddieq Basisschool de baarsjes,Jan van Riebeekstraat 11-13,1057ZW,Amsterdam,TRUE,TRUE,TRUE,TRUE,School,m.cakmak@as-siddieq.nl,2e kwartaal 2015
Autodealers,Keurenplein 51,1069 CD,Amsterdam,TRUE,,,TRUE,Webbouwers voor autodealers,debbie@autodealers.nl,Februari 2015
Aventel,Rijksstraatweg 371,2025 DB,Haarlem,,,TRUE,,IP Telefonie,steven@aventel.nl,
Biomensural,Badelochstraat 44,2026VN,Haarlem,TRUE,,,,,info@biomensural.nl,Pas in 2016 weer
Bluewater,Markstraat 33,2132HR,Hoofddorp,,,,,,maria.costalima@bluewater.com,06 467 20 512  29/9 gemaild met meer info
Branche Software,Paul Krugerkade 45a,2021BN,Haarlem,TRUE,,,,Automatiseringsbedrijf,,Tweede helft 2015
CAS Computers opf Computer Adevies Samuelz,Tussenmeer 96,1069DS,Amsterdam,,,,,,cas-computers@online.nl,Vanaf Jan 2015 weer plek
Corendon Reisbureau,Kloosterstraat 3,2021VJ,Haarlem,TRUE,TRUE,TRUE,,,mehtap@corendonreisbureau.nl,Vanaf 2015 wellicht
CWS Computer Workshop BV,Rijksstraatweg 34-36,2022DB,Haarlem,,TRUE,TRUE,TRUE,computerwinkel,Richard@cws.nl,Vanaf Jan 2015 weer plek
Danmax,Julianastraat 91,2161RC,Lisse,,,,,,info@danmax.nl,17/11 gemaild
Datafixer,Ekamastraat 15-17,2035VE,Haarlem,,TRUE,,TRUE,,info@datafixer.nl,Vanaf Februari 2015
DKG,Faradaystraat 1,2014EN,Haarlem,,,,,AutomatiseringsbedriJf,w.velzen@dkg.nl,Geen plek fysiek
Emceepack BV,Achterweg-zuid 62,2161DZ,Lisse,,,,,,pschalke@emceepack.com,Geen plek
Hildebrandschool,Vilniusstraat 2,2034EM,Haarlem,,,,,,Jolen@hildebrandschool.nl,Geen plek in 2015
IVN Amsterdam,Amstelpark 6,1083HZ,Amsterdam,,,,,,e.willems@ivn.nl,
Kastermans,Buziaulaan 28,1948AK,BeverwiJk,,,,,applontw/detachering etc,,2016 plek
Multi-M/IT,Transformatorweg  32-78,1013LV,Amsterdam,,TRUE,TRUE,TRUE,,,
N200,Donkere Spaarne 24 zw,2011JG,Haarlem,,,,TRUE,Evenementen org,m.bovee@n200.com,
Netline Systems BV,Zwaluwstraat 49,2025VN,Haarlem,,,,TRUE,,mail@netline.nl,Voorlopig geen behoefte
ODDesigns,Scheldestraat 83,1972TL,IJmuiden,TRUE,,,,Reclameburo,info@oddesigns.nl,Geen plek in 2014
PC Depot,Ornaje Nassaustraat 42,1169GN,Halfweg,,TRUE,,TRUE,Computerwinkel,roland@pcdepot.nl,Na zomervakantie
Ripfacility,Surinameweg 2,2035VA,Haarlem,,,,TRUE,,han@ripfacility.com,
Sensi Media,Jansstraat 46,2011RZ,Haarlem,TRUE,,,TRUE,Media,marijn@sensimedia.nl,"is nu 1 man, mss in 2016 weer plek"
Silent Computing,Dukdalfweg 48,1041BE,Amsterdam,,TRUE,,TRUE,Systeembouwer,marco@ikbenstil.nl,Na zomervakantie eind examen kandidaat
Spaarne Ziekenhuis,Spaarnepoort 1-3,2134 TM,Hoofddorp,,TRUE,TRUE,TRUE,Ziekenhuis,a.aarbodem@spaarneziekenhuis.nl,Vanaf week 45 en in 2015 vanaf week 6
UL Transaction Security,De Heyderweg 2,2314XZ,Leiden,,TRUE,,TRUE,,Dennis.vanderHorde@ul.com,Jan 2015 pas
Vuurpijlbeheer BV / Vissim,A. Hofmanweg 5A,,Haarlem,,TRUE,TRUE,,offshore,,Na zomervakantie
Atlantique Holiday Club,Karaova Mevkii Sahil Siteleri,,"Kusadasi, TurkiJe",,,,,,batinkusdemir@hotmail.com,Gemaild 22Sep2014
Centrum Wiskunde & Informatica,Sciencepark 123,1098XG,Amsterdam,,,,,,niels.nes@cwi.nl,"10/11 Gebeld, ik wordt teruggebeld"
Coppermine,Burgwal 91,2011BC,Haarlem,,,,TRUE,,,Voicemail ingesproken 6Okt2014
Corendon International Travel,Singaporestraat 82,1175RA,LiJnden,,,,,reisbureau,anneb@corendon.nl,
Coty International B.V.,oudeweg 147,2031CC,Haarlem,,,,,,fito_cicilia@cotyinc.com,Gemaild 10/11/14 17/11 gebeld
