name,adress,zip,city,abn,ecabo,activity,email,comment
Clusius College,Drechterwaard 10,1842EX,Alkmaar,BN,N,School,administratie@clusius.nl,
CMPE - Mind Holland,oudeweg 8A,2031CC,Haarlem,AN,N,Datamining/Voip,info@cmpe.nl,06 46 372 246
Cobra Systems,Penningweg 82,1507 DH,ZAANDAM,,,,"thom.neeft@cobrasystems.nl
patrick@cobrasystems.nl",
Compu Act,Wilhelminastraat 33,2011VJ,Haarlem,A,N,,Jesse@computertraining.nl,Voicemail ingesproken 6Okt2014
Compucolor Printing,Hulswitweg 31,2031BG,Haarlem,ABN,J,Digital Media,info@compucolor.nl, 
CAS Computers opf Computer Adevies Samuelz,Ir Lelieweg 50,2031CD,Haarlem,B,N,,info@compufactory.nl,023 531 0209
Computer Connection,Middelweg 95A,1911EC,Uitgeest,B,J,Winkel,info@computerconnections.nl,06 47 024 923 - gemotiveerd en wat gevorderd
Computer Support Amsterdam,Jan van Galenstraat 111,1056 BK,Amsterdam,BN,N,Computer reparatie,info@computersupportamsterdam.nl.,
Comsoft direct BV,Flamingoweg 36,1118EE,Schiphol,,N,Licentieverkoop,michel.jansen@comsoft.nl,of 06-21393897
Copavo,La Guardiaweg 36-66,1043DJ,Amsterdam,AB,J,,info@copavo.nl,0654 757 505
Corus Packaging,Wenckebachstraat 1- 4e,1951JZ,Velsen-Noord,,J,Tata Steel,,
CPM, , ,Amstelveen,BN,N,,rudy.muzo@nl.cpm-int.com,
CSU Uithoorn,Dorpsstraat 49,1421AS,Uithoorn,B,J,computerwinkel,info@csuithoorn.nl,06-24277972
De Voogt NavalArchitects,Leidsevaart 574,2014 HT,Haarlem,B,J,CAD 3D Architects,pieters@dvna.nl,
Dienst Maatschappelijke Ontwikkeling,Weesperstraat 101,1018VN,Amsterdam,,N,,,
DJF-com,Hoofdstraat 125C,2181EN,Hillegom,BN,N,Reparaties/onderhoud,dennis@djfcom.nl,Nivo 2!!
Dutchdrops,Tappersweg 14-25,2031EV,Haarlem,A,J,,info@dutchdrops.nl,Voorheen creative4vision
DUVAK IT MUST WORK,Statelietlaan 37,2180AJ,Hillegom,B,N,,recruitment@duvak.nl,
DVOMi,Parnassusweg 220,1076AV,Amsterdam,,N,,,
Dynabyte,Houtplein 16,2012DH,Haarlem,,J,Verkoop computers/computeronderdelen,,
EasyCount BV,karspeldreef 6 b (6e verdieping),,Amsterdam,,J,,paul@easycount.nl,
ECL (1e Christelijk Lyceum),zuider Emmakade 43,2012KN,Haarlem,BN,J,school,b.degraaf@ecl.nl,
Effectiv  Communicatie BV,Weerenweg 13B,1161AE,Zwanenburg,,J,,contact@effectiv.nl,
Elbersen automatisering,Herenweg 29 A1,2105MB,Heemstede,,J,Automatiseringsbedrijf,,
EVO Switch,Lucasweg,,Haarlem,,N,,,
Falco Networks BV,De Schrijnwerker 10,1851PV,Heiloo,,N,,,
FBI Design,Wilhelminastraat 14-16,2011VM,Haarlem,,N,,fbi@fbidesign.nl,
Ferencik,Vijfhuizerweg 795a,2141CP,Vijfhuizen,A,N,,wilfried@ferencik.net,Engels is een must! of Pools oid
Gemeente Beverwijk,Stationsplein 48,1948KG,Beverwijk,,N,Gemeentehuis,via form op website,
Gemeente Haarlemmermeer,Raadhuisplein 1,2132TZ,Hoofddorp,,N,Gemeentehuis,willem.vrugt@haarlemmermeer.nl,
Gisek Automatisering,Kromhoutstraat 60,1976BM,IJmuiden,,N,appl ontw + ICT beheer,,
Guidion Computer Budies,James Wattstraat 79 (9e verd),1091GL,Amsterdam,AB,J,,werken@guidion.net,create.guidion.nl
Haarlem College,Broekweg 1,2035LE,Haarlem,,N,,,
Haemstede Barger,Koediefslaan 73,2101BT,Heemstede,BN,J,school,rvankrieken@haemstede-barger.nl,
Harte Kamp Groep,De Circel 1,1976 NM,Heemstede,BN,J,,stages@hartekampgroep.nl,
Haven College,"Kwadrantweg 11
Westpoort 4044",1042AG,Amsterdam,A,J,school,,
Hexapole,Wijkermeerweg 72,1948NX,Beverwijk,,N,Automatiseringsbedrijf,info@hexapole.com,
HvA,Wiboutstraat 2-4,1021GM,Amsterdam,,N,school,n.siemens@hva.nl,
Iber Lengua,Zaanenstraat 18,2022CP,Haarlem,,J,,,
Ichtus Lyceum,Wolff en Dekenlaan 1,1985HP,Driehuis,,N,,,
IDG Communications Nederland,Transformatorweg 80,1014AK,Amsterdam,,J,Automatiseringsbedrijf,,
Infotheek,Willem Barentszstraat 19,2315TZ,Leiden,,N,,alex.mater@infotheek.nl,
Invent Design,Valschermkade 36-B,1059CD,Amsterdam,A,J,,niek@inventdesign.nl,
Inventeers,De Heijderweg 21,2314XZ,Leiden,ABN,J,,info@inventeers.nl,0628 533 908
InWork,Karspeldreef 8,1101CJ,Amsterdam,B,J,,,
Its a virus,Oudeschans 85-4,1011KW,Amsterdam,A,J,,jverheul@itsavirus.com,
IURO,Govert Flinckstraat 57,1071JW,Amsterdam,BN,N,Pieter Appel,kenzo@iuro.nl,06 254 255 29
JK Webdesign,Wezellkoog 4,1822BL,Alkmaar,A,J,,,
JWT-internationaal,Leidseplein 29 (Hirsch gebouw),1017PS,Amsterdam,BN,J,,harry.van.den.boogaard@jwtamsterdam.nl,
K-Swiss,Diakenhuisweg 45,2033AP,Haarlem,B,J,Verkoop sportartikelen,support@kswiss.nl,Desktopbeheer geen Server (dus Lint stage)
KBWorks,suikersilo west 15,1165MP,Halfweg,AB,J,,paul@kbworks.nl,Graag nivo 4 of 3e jaars
KLM Equipment Services,Pakhuisstraat 1,1118DJ,Schiphol,,N,,,
KNRM,Haringkade 2,1976CP,IJmuiden,,J,Rediingsmaatschappij,m.nijst@knrm.nl,
Koeleman Accountants & Belastingadviseurs,Torenlaan 1c,2215 RW,Voorhout,A,,Accountant,,
Kreeft Infra,Kruitenstraat 7,1976DM,IJmuiden,,N,,frank@kreeft-gww.nl,0615 309 003
KVSA,Sluisplein 55,1975AG,IJmuiden,,J,,info@kvsa.nl,
Liereland,Toscanestraat 4,1872DM,Alkmaar,,N,,,
MARK-APP,Gerstland 33,1991CL,Velserbroek,,N,web ontwikkeling,info@mark-app.com,
Master-Solutions,Parallelweg 124 15,1948NN,Beverwijk,ABN,J,,o.cairo@master-solutions.nl,
Mata Computers,Wijkerstraatweg 173A,1951ED,Velsen-Noord,,N,,,
MCCS,Bolderweg 2,1332,Almere,,N,,jan@mccs.nl,
Media Markt Cruquius,Cruquiusplein 10,2142EV,Cruquius,B,,,,
"Meerkerk, de",Ijweg 1100,2133MH,Hoofddorp,,J,,johnvandenberg@meerkerk.nl,
Mendelcollege,Pim Mullerlaan 4,2024BT,Haarlem,,J,school,,
Microfix,"Paasheuvelweg 34A,",1105BJ,Amsterdam,BN,,,,
Mixxim,Pleimuiden 24,1046AG,Amsterdam,,J,,info@mixxim.nl,
Mundus College (zie ook Nova),Burgemeester Hogguerstraat 2,1064EB,Amsterdam,BN,J,,k.aissati@mundus.espritscholen.nl,
My-link Design,Meer en Duin 365,2163HE,Lisse,A,J,,info@my-link.nl,
Mycom,Zijlweg 26,2013DH,Haarlem,B,J,Computerwinkel,,
Netaffairs Internetdiensten BV,Hulswitweg 14,2031BG,Haarlem,ABN,J,,tamara@netaffairs.nl,richard@netaffairs.nl
NetFirst,Cessnalaan 33,1119NJ,Schiphol-rijk,,N,,mark@netfirst.nl,06 333 078 10
New Limit Database Solutions BV,Koelmalaan 69,1812PR,Alkmaar,,N,,frank.kuijper@newlimit.nl,
NG Networks,Prof. van der Waalsstraat 1,1821 BT,Alkmaar,N,J,,gert@ngnetworks.nl,mogen er 2 zijn
Nine Connections,Keizersgracht 203,,Amsterdam,BN,N,,lucien.burm@kimengi.com,
Nova College Beverwijk,Lauren Baecklaan 23,1942LN,Beverwijk,,J,School,,
OBS De Duinroos,Dr Jacobus P Thijsseweg 24,2041BM,Zandvoort,,N,,info@deduinroos.nl,
OBS De Pleiaden,Pleiadenplantsoen 63,1973BS,IJmuiden,,N,,gertoncazemier@gmail.com,
OGD ICT-diensten,Cypressehout 99,1507EK,Zaandam,B,J,ICT Dienstverlening,werkplekbeheer@ogd.nl,
Onsite Automation,Tappersweg 14-32,2031CV,Haarlem,,N,,,
Otravo,Haarlemmerstraatweg 41,1156 MS,Amsterdam-Halfweg,,N,,m.hellinga@otravo.nl,Suikersilo Oost 12e verdieping
Outhands,De Hooge Krocht 2H,2201 TX,Noordwijk,AB,J,Internet diensten,marcus@outhands.nl,
OVO Zaanstad,Stationstraat 77,1506DE,Zaandam,BN,N,,h.vandenberg@ovo-zaanstad.nl,
Pletterij,Lange Herenvest 122,2011 BX,Haarlem,B,N,,mariette@pletterij.nl,Lint stage max haalbaar
Qubics,Bloemendaalseweg 172,2051 GK,Overveen,A,J,,jp.huiskamp@qubics.nl,
Realhosting,Tingietersweg 86,2031ES,Haarlem,,N,,,
Reliance Managed Services,Jupiterstraat 202,2132HJ,Hoofddorp,BN,J,,,
Reuzado,Hendrik Figeeweg 5 E2,2031BJ,Haarlem,B,J,,roy@reuzado.nl,
Schoter scholengemeenschap,Sportweg 9,2024CN,Haarlem,,J,school,,
Schott Groep,Smaragdweg 3,1812RL,Alkmaar,,J,,j.vanlith@schot-alkmaar.nl,
Sims Lifecycle Services,Waarderweg 60,2031BP,Haarlem,,N,Hardware recycling,,
Smart Alarm,Wibautstraat 125,1091GL,Amsterdam,ABN,J,,jelle@smartalarm.nl,
Square One Solutions,Oosteinde 34,2361HE,Warmond,,N,,h.devlieger@square1.nl,06 2479 70 28
Stageservices,Sisalbaan 5c,2352ZA,Leiderdorp,BN,J,stagebegeleiding,pvdmeij@stageservices.nl,
Stedenband Haarlem Mutare,Lange herenvest 122,2011BX,Haarlem,,J,,,
Sterren College,Badmintonpad 15,2023BT,Haarlem,,N,school,a.blankesteijn@duamare.nl,Alleen oud leerlingen
Stichting Veilig Online,Erasmusweg 11-c,2532CD,Den Haag,,N,Stichting,,
Succesfully,Waarderveldweg 89,2031BK,Haarlem,ABN,J,,epel@succesfully.nl,
Synetic BV,Molenwerf 40,1911DB,Uitgeest,A,J,,hessel@synetic.nl,
Tabijn BV,De trompet 1960,1967DB,Heemskerk,BN,J,,e.vdsaag@tabijn.nl,
Technisch college Velzen,Briniostraat 12,1971HM,Ijmuiden,BN,J,school,p.tauber@technischcollegevelsen.nl,
Teleplaza,De Trompet 2260,1976DC,Heemskerk,,N,,robert@teleplaza.nl,
Tender College,Eenhoornstraat 8,1973XT,IJmuiden,BN,N,school,m.vrijburg@tendercollege.nl,
Thordar Media,Spaarndamseweg 120 K III,2021 KA,Haarlem,A,,Webbouwers,mark@thordar.nl,
Total Progress,Izaak Enschedeweg 40,2031CS,Haarlem,AB,J,,info@totalprogress.nl,023 7070 008
University of Wolverhampton,,,,,N,United Kingdom,,
Vanimedia,Ruinelaan 12,1861LL,Bergen,A,N,,robbin@vanimedia.nl,
VBVB ICT,Herengracht 505,1017BV,Amsterdam,B,J,,david@vbvb.nl / hubert@vbvb.nl,
Vellesan College,P.J. Troelstraweg 1,1971HL,IJmuiden,,N,School,,
Viva Zorggroep,Parlevinkerstraat 23,1951AR,Velsen-Noord,,N,,p.smit@vivazorggroep.nl,
VUMC,Jachthavenweg 111 (gebouw zuiderhof),1081KM,Amsterdam,BN,N,,s.bloem@vumc.nl,
Vuurpijlbeheer BV,Lagedijk 11A,2064KV,Spaarndam,BN,,Hosting provider,,
Webbro,Badhuisplein 12,2042 JB,Zandvoort,A,J,,arnold@webbro.nl,
WeCloudit Group,Schieland 18,1948RM,Beverwijk,AN,J,,stephan.zweers@wecloudit.nl,0642 018 451
Widgets BV,Jansweg 39,2011KM,Haarlem,A,J,,info@widgets.nl,
WinSys B.V.,Kromhoutstraat 54a,1976BM,IJmuiden,BN,J,Automatiseringsbedrijf,stella@winsys.nl,Januari 2015
Zaan Primair,Martin Luther King weg 206,1504DG,Zaandam,ABN,N,Onderwijsinstelling,vacatures@zaanprimair.nl,
Zebra,Kaj Munkweg 30,2131RW,Hoofddorp,ABN,J,Leerbedrijf,lvalkenier@novacollege.nl,
Zorgring,Bestevaerstraat 65,1812PC,Alkmaar,N,J,,M.Miedema@zorgring.nl,
ACW softline,,,wormerveer,,J,,,
Aeon Service ICT,"Caballero Fabriek, Saturnusstraat 60 Unit 2",2516 AH,Den Haag,BN,,ICT dienstverlener,info@aeon.service.nl,
Appedemic,IJburglaan 835,,Amsterdam,A,J,Web bouwer,emile@appedemic.nl,
Banana-Apps,Kabelweg 37,1014 BA,Amsterdam,A,J,Game development,stage@banana-apps.com,
Barning,De Roysloot 2,2231 NZ,Rijnsburg,,,Communicatie,e.wasser@barning.nl,
Beveiliging Kennermerland,Robert Kochlaan 126,,Haarlem,B,N,Camerabeveiliging,marcus@BeveiligingKennemerland.nl,
Brightness,Planetenweg 5,2132 HN,Hoofddorp,B,N,,jeroen@brightness.nl,
Bugs Business,Rhijnspoor 235,2901 LB,Capelle aan den IJssel,,,Verzekeringssoftware/apps,info@bugsbusiness.nl,
Cartesius Lycemum,Frederik Hendrikplantsoen 7,1052 XN,Amsterdam,B,,School,j.vanammers@cb.espritscholen.nl,
Dearbytes,Rijnland 4c,1948RL,Beverwijk,ABN,B,IT Security,Stephan.Krijgsman@dearbytes.nl,
DGTL Design,Bos en Lommerplein 290-300,1055RW,Amsterdam,A,J,,paul@dgtldesign.com,milan@dgtldesign.com
Digital Image,Wattstraat 52,2171TR,Sassenheim,A,,,ed@digital-image.nl,
Effect ICT Solutions,Losplaatseweg 24a,2201CV,Noordwijk,,,,henk@effect-ict.nl,
Findeve,Nieuwe Gracht 13,2011NB,Haarlem,A,J,Web bouwer,niels@findeve.nl,
Infra 24,W.M. Dudokweg 24,1703 DB,Heerhugowaard,,,,cris@infra24.com,
Intergraph/Hexagon,Siriusdreef 2,2132 WT,Hoofddorp,A,J,Security,francis.schenk@intergraph.com,
IT Formule,‘s-Gravendijckseweg 37,2201CZ,Noordwijk,B,,Consultancy,,
Let's build IT,Verlengde Lageweg 19,1628 PM,Hoorn,A,,Web bouwer,,
Lined,,,Noordwijkerhout,A,,,dave@lined.nl,
Livit Orthopedie,Gyroscoopweg 144,1041AZ,Amsterdam,B,J,Orthopeet,speters@livit.nl,
Madaga,Laan van Kronenburg 14,1183 AS,Amstelveen,B,N,Food,,
Minty Media,Diakenhuisweg 29 - 35,2033 AP,Haarlem,,,Web bouwer,job@mintymedia.nl,
MyChip,Rijder 1a,,Zaandam,A,J,Events en betaalsysteem,jaleesa@dewit.nl,
Next Gen Networks b.v.,Professor van der Waalsstraat 1,1821 BT,Alkmaar,BN,,Netwerkbedrijf,,
Novusoft,Augurksteeg 11,1601CD,Enkhuizen,A,J,Web bouwer,,
Onderwijsgroep Amstelland,,,,BN,,,,
PCAlkmaar,Scheldestraat 62-A,1823 WB,Alkmaar,ABN,,Reparatiebedrijf,info@pcalkmaar.com,
PCHulpnederland,Ceintuurbaan 141,1072 GB,Amsterdam,BN,N,,jamie@pchulpnederland.nl,
Premiums Mobi,Magneetstraat 7,1044 CC,Amsterdam,A,J,,info@premiums.mobi,
Prins Staalhandel,Kousenmakersweg 2,2031 ED ,Haarlem,ABN,,,amoens@prinsstaal.nl,
Project 23,Weeshuistuin 1,1621GE,Hoorn,A,J,,info@project23.nl,
PWA-IT,Pletterij 1F,2211 JT,Noordwijkerhout,,,,info@pwa.it,
Real IT Soluctions,Pieter Goedkoopweg 24,2031EL ,Haarlem,BN,,,info@rshaarlem.com,
RG IT Systems,Newtonstraat 38a,1704SB,Heerhugowaard,,J,,Gert@rg-itsystems.nl,
Schoonheidssalon Wagenaar.,Pa Verkuyllaan 20,1171 EE,Badhoevedorp.,,,Schoonheidssalon,,
Selectron Rademakers,Kerkstraat 105b,2011 RG,Noordwijkerhout,BN,,Computerwinkel,,
Sensa Zorg,Professor van der Scheerstraat 205,2035 AM,Haarlem,,,,,
SLBDiensten / Slim.nl,Vierwindenstraat 149,1013 LA,Amsterdam,,,SLB diensten voor MBO,Hans.manders@gmail.com,
Smix Repair,De hooge krocht 20,2201 TX,Noordwijk,,,,ahuijbregts@smixs.nl,
Swat,De Trompet 1560,1967 DB,Heemskerk,A,J,Internet Reclame buro,lvantveer@swat.nl,
Teva Pharmaceuticals,Swensweg 5,2031 G,Haarlem,,,Pharma,Martijn.Koorn@tevapharmachemie.com,
The Outlet Factory,Spaarneweg 75a,2142EP,Cruquius,A,J,,sales@theoutletfactory.nl,
The Prosperity Lounge,Noordeinde 2E,2311 CD,Leiden,A,J,,oscar@thepl.nl,
Tjuna,Tappersweg 12W,2031ET,Haarlem,A,J,Web bouwer,info@tjuna.com,
Total Internet Group,Kabelweg 37 (Coengebouw),1043AJ,Sloterdijk,A,,Web bouwer,eline.ceelen@totalinternetgroup.nl,
Trans-IX,Westhavenweg 105b,1042BB,Amsterdam,BN,,Hosting Provider,diederik@trans-ix.nl,Nivo 2 welkom!
TroubleFree,,,Noordwijkerhout,A,,,,
Turien en Co Assuradeuren,James Wattstraat 11,1118DC,Alkmaar,B,,Verzekeringen,mwijnmaalen@turien.nl,
Vegro Verpleegartikelen ,Vennestraat 13,2161LE,Lisse,B,,,,
Yahklef IT,Van der Vennestraat 59,,Den Haag,B,,,hamza.yakhlef@gmail.com,
Zisoo,Polaris Avenue 151,2132JX,Hoofddorp,,,,,
123Webidee,Hans van Kilsdonklaan 49,1948BB,Beverwijk,A,N,webontwikkeling,info@123webidee.nl,Januari 2015 (na verhuizing)
24 imedia,Transformatorweg 78,1014AK,Amsterdam,ABN,J,,pieter.siekerman@24imedia.com,0613 018 768  Vanaf 25 Jan 2015
2Contact,Prins Hendrikstraat 1,2011VM,Haarlem,B,J,Callcenter,mlindenborn@2contact.com,
Airtrade,Nobelstraat 19,2011TX,Haarlem,ABN,J,,rhaarlemmer@airtrade.nl,4e kwartaal 2015
Alcco Alkmaar Computers,Muiderwaard 404,1842XT,Alkmaar,,J,,info@alcco.nl,2015 weer
Allshare BV,Scorpius 30,2130AG,Hoofddorp,BN,J,Bank sw ontwikkeling / hosting,lbakker@allshare.nl,2e kwartaal 2015
As-siddieq Basisschool de baarsjes,Jan van Riebeekstraat 11-13,1057ZW,Amsterdam,ABN,J,School,m.cakmak@as-siddieq.nl,2e kwartaal 2015
Autodealers,Keurenplein 51,1069 CD,Amsterdam,A,J,Webbouwers voor autodealers,debbie@autodealers.nl,Februari 2015
Aventel,Rijksstraatweg 371,2025 DB,Haarlem,N,N,IP Telefonie,steven@aventel.nl,
Biomensural,Badelochstraat 44,2026VN,Haarlem,A,N,,info@biomensural.nl,Pas in 2016 weer
Bluewater,Markstraat 33,2132HR,Hoofddorp,,N,,maria.costalima@bluewater.com,06 467 20 512  29/9 gemaild met meer info
Branche Software,Paul Krugerkade 45a,2021BN,Haarlem,A,,Automatiseringsbedrijf,,Tweede helft 2015
CAS Computers opf Computer Adevies Samuelz,Tussenmeer 96,1069DS,Amsterdam,,N,,cas-computers@online.nl,Vanaf Jan 2015 weer plek
Corendon Reisbureau,Kloosterstraat 3,2021VJ,Haarlem,ABN,N,,mehtap@corendonreisbureau.nl,Vanaf 2015 wellicht
CWS Computer Workshop BV,Rijksstraatweg 34-36,2022DB,Haarlem,BN,J,computerwinkel,Richard@cws.nl,Vanaf Jan 2015 weer plek
Danmax,Julianastraat 91,2161RC,Lisse,,N,,info@danmax.nl,17/11 gemaild
Datafixer,Ekamastraat 15-17,2035VE,Haarlem,B,J,,info@datafixer.nl,Vanaf Februari 2015
DKG,Faradaystraat 1,2014EN,Haarlem,,N,Automatiseringsbedrijf,w.velzen@dkg.nl,Geen plek fysiek
Emceepack BV,Achterweg-zuid 62,2161DZ,Lisse,,N,,pschalke@emceepack.com,Geen plek
Hildebrandschool,Vilniusstraat 2,2034EM,Haarlem,,N,,jolen@hildebrandschool.nl,Geen plek in 2015
IVN Amsterdam,Amstelpark 6,1083HZ,Amsterdam,,,,e.willems@ivn.nl,
Kastermans,Buziaulaan 28,1948AK,Beverwijk,,N,applontw/detachering etc,,2016 plek
Multi-M/IT,Transformatorweg  32-78,1013LV,Amsterdam,BN,J,,,
N200,Donkere Spaarne 24 zw,2011JG,Haarlem,,J,Evenementen org,m.bovee@n200.com,
Netline Systems BV,Zwaluwstraat 49,2025VN,Haarlem,,J,,mail@netline.nl,Voorlopig geen behoefte
ODDesigns,Scheldestraat 83,1972TL,IJmuiden,A,N,Reclameburo,info@oddesigns.nl,Geen plek in 2014
PC Depot,Ornaje Nassaustraat 42,1169GN,Halfweg,B,J,Computerwinkel,roland@pcdepot.nl,Na zomervakantie
Ripfacility,Surinameweg 2,2035VA,Haarlem,,J,,han@ripfacility.com,
Sensi Media,Jansstraat 46,2011RZ,Haarlem,A,J,Media,marijn@sensimedia.nl,"is nu 1 man, mss in 2016 weer plek"
Silent Computing,Dukdalfweg 48,1041BE,Amsterdam,B,J,Systeembouwer,marco@ikbenstil.nl,Na zomervakantie eind examen kandidaat
Spaarne Ziekenhuis,Spaarnepoort 1-3,2134 TM,Hoofddorp,BN,J,Ziekenhuis,a.aarbodem@spaarneziekenhuis.nl,Vanaf week 45 en in 2015 vanaf week 6
UL Transaction Security,De Heyderweg 2,2314XZ,Leiden,B,J,,Dennis.vanderHorde@ul.com,Jan 2015 pas
Vuurpijlbeheer BV / Vissim,A. Hofmanweg 5A,,Haarlem,BN,,offshore,,Na zomervakantie
Atlantique Holiday Club,Karaova Mevkii Sahil Siteleri,,"Kusadasi, Turkije",,N,,batinkusdemir@hotmail.com,Gemaild 22Sep2014
Centrum Wiskunde & Informatica,Sciencepark 123,1098XG,Amsterdam,,N,,niels.nes@cwi.nl,"10/11 Gebeld, ik wordt teruggebeld"
Coppermine,Burgwal 91,2011BC,Haarlem,,J,,,Voicemail ingesproken 6Okt2014
Corendon International Travel,Singaporestraat 82,1175RA,Lijnden,,N,reisbureau,anneb@corendon.nl,
Coty International B.V.,oudeweg 147,2031CC,Haarlem,,N,,fito_cicilia@cotyinc.com,Gemaild 10/11/14 17/11 gebeld
Detailresult Services,Olieweg 6,1951NH,Velsen Noord,,J,,ppieters@detailresult.nl,17/11 gemaild
Dude Square,Phoenixstraat 13,2011KC,Haarlem,,N,Webdesign,,voicemail ingesproken 6/11/14
Gemeente Amsterdam IBA,Weesperstraat 430,1018DN,Amsterdam,,J,,b.heimans@amsterdam.nl,
Hexaware,Kruisweg 825,2132NG,Hoofddorp,,N,"Softwarebedrijf, Testen",,Jacqueline van Dongen vm ingesproken 22/4/15
Janssen,Archimedesweg 4,233CN,Leiden,,J,,cmons@its.jnj.com,Chantal gemaild 17/11
Orange Line,Molenwerf 16,1911DB,Uitgeest,A,N,,rob@orangeline.nl,Rob gemaild 17/11
Cartridge Kingdom Inc.,98 Ashwarren road,M3J 2S6,Toronto,,N,,,
Comentum,6222 Ferris Square,CA 92121,San Diego,,N,,,
Dig-na Inc.,,,"Fukucka, Japan",,N,,,
e-commerce partner BV,Startbaan 8,1185XR,Amstelveen,,J,,,
Elres AVC,Keizerstraat 9,2011VS,Haarlem,,J,,,
Enk Software,Molenwerf 32,,Uitgeest,,J,Automatiseringsbedrijf,kmartens@enk.nl,
Equitum Direct,Hendrik Figeeweg 1R,2031BJ,Haarlem,,J,,,
Fedex Trade Networks Transport & Brokerage,Polaris Avenue 21,2132JH,Hoofddorp,,N,,harry_seetz@ftn.fedex.com,0654 752 001
Filenetwerken,Pesetalaan 31,1060SC,Amsterdam,,J,,,
Fioretti College Paulus,Gorgialaan 24,2182LA,Hillegom,,J,school,,
Flinty's jongerencentrum,Prinsenbolwerklaan 3,,Haarlem,,N,,,06 484 31 002
Fotovak Engel,Heereweg 209,2161BE,Lisse,,N,,dekock.fotovakengel@gmail.com,
Fysio Roadmaps Online,Waarderweg 33 Unit A11,,Haarlem,,N,,,
Fysiotherapie de nieuwebrink,Liniewal 4,2141PA,Vijfhuizen,,N,,fysioberendes@quicknet.nl,
Garagebedrijf Polder,Palletweg 19,2031,Haarlem,,N,,,
Gemeente Bloemendaal,Bloemendaalseweg 158,2050AE,Overveen,,J,Gemeentehuis,p.oud@bloemendaal.nl,
Gemeente Haarlem,Zijlvest 39,2011VB,Haarlem,,J,Gemeentehuis,dgtweeboom@haarlem.nl,
Gemeente Heemskerk,Bachstraat 6,1960AA,Heemskerk,,J,Gemeentehuis,,
Gemeente Heemstede,Raadhuisplein 1,2101HA,Heemstede,,N,Gemeentehuis,,
Gemeente Hillegom,Hoofdstraat 115,2180AA,Hillegom,,N,Gemeentehuis,,
Gemeente Lisse,Heereweg 254,2160AE,Lisse,,J,Gemeentehuis,dbrauckmann@lisse.nl,
Gemeente Velsen,Dudokplein 1,1971EN,IJmuiden,,J,Gemeentehuis,rjaspers@velsen.nl,
Gemeentehuis Uitgeest,Middelweg 28,1911AA,Uitgeest,,N,Gemeentehuis,,
Getronics Pinkroccade,Paalbergweg 1-3,1105AG,Amsterdam,,N,Automatiseringsbedrijf,,
